TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,40,112,11,0,47,127,7,4,0,10,114,50,95,6,0,0,51,8,49,1,3,2,0,6,0,42,35,13,17,5,9,0,1,0,1
CD,32,51,29,0,0,85,43,5,0,0,3,209,125,54,0,0,1,11,0,20,0,1,0,1,11,0,0,13,6,7,3,9,2,0,0,2
DT,3,32,3,0,3,23,706,26,21,0,8,1196,159,238,14,0,0,5,0,44,7,7,1,0,3,0,0,5,33,18,6,28,2,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,30,0,0,0,0
FW,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,5,213,1138,10,0,53,447,22,14,0,1,370,151,739,4,4,0,101,113,37,1,2,0,0,6,0,4,0,92,16,0,2,19,7,0,9
JJ,96,33,16,0,0,155,247,0,3,0,3,1299,575,89,2,0,1,24,1,15,1,0,1,0,75,0,2,12,15,4,9,2,0,0,0,1
JJR,4,0,1,0,0,43,8,0,0,0,1,50,30,2,0,0,0,1,0,3,2,0,0,0,1,0,0,1,2,3,0,1,0,0,0,1
JJS,2,2,5,0,0,10,3,0,0,0,1,25,24,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,72,0,0,0,0,1,0,334,0,0,0,0,0,0,0,0,1
NN,287,25,154,11,0,1476,83,11,7,0,107,573,428,242,0,0,104,139,7,120,4,2,3,1,212,0,10,202,73,68,30,225,62,17,0,20
NNS,157,14,76,10,0,524,44,6,7,0,74,67,26,74,0,0,6,53,2,82,0,2,0,0,91,1,3,169,70,39,187,24,44,9,1,8
NP,159,125,98,6,0,235,86,0,0,0,55,203,56,1282,48,0,254,49,0,40,3,1,0,1,33,0,2,315,30,6,23,132,22,15,2,14
NPS,11,0,2,0,0,5,2,0,0,0,3,2,1,27,0,0,2,2,0,1,0,0,0,0,2,0,0,5,0,0,3,6,0,0,0,1
PDT,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,7,0,0,0,0,136,2,14,0,0,136,26,25,1,0,0,0,0,1,0,8,0,0,0,0,0,2,9,2,0,0,0,0,0,0
PP,2,3,10,0,0,15,3,0,1,0,95,1,2,8,0,0,1,2,1,28,1,0,1,0,6,1,9,179,1,2,191,108,1,0,0,0
PP$,2,4,0,0,0,0,79,1,2,0,0,113,38,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
RB,27,37,73,5,0,161,140,19,1,0,9,16,13,31,0,1,0,34,10,94,12,0,0,0,27,0,112,34,45,101,17,35,4,3,0,4
RBR,2,0,10,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0
RBS,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP,7,2,24,0,0,35,4,1,0,0,0,2,5,8,0,0,0,1,1,10,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0
SYM,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,37,94,0,0,1,58,6,0,0,0,24,7,54,0,0,0,2,6,9,3,0,0,0,0,0,530,1,17,0,0,0,1,2,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VB,12,18,226,0,0,147,126,23,1,0,1,74,36,53,0,2,0,39,34,58,9,0,39,0,59,0,2,4,18,78,0,4,2,0,0,3
VBD,16,41,174,4,0,138,87,7,5,0,1,36,29,170,0,0,0,67,18,72,1,0,6,0,63,0,3,5,20,82,0,0,1,2,0,4
VBG,4,10,95,0,0,76,48,4,0,0,0,89,51,25,0,1,0,10,14,25,5,0,27,0,56,0,1,1,2,16,1,1,0,2,0,1
VBN,31,10,62,1,0,251,24,1,1,0,0,56,17,29,0,0,0,12,9,37,0,0,22,0,106,0,0,4,7,31,0,1,0,1,0,0
VBP,4,7,45,3,0,46,37,7,0,0,0,16,13,7,0,0,0,15,9,93,4,2,2,0,32,0,4,3,60,104,0,1,1,0,0,1
VBZ,3,6,104,0,0,42,79,6,1,0,1,20,3,20,0,1,0,8,10,137,2,0,7,0,48,0,5,2,45,111,0,1,0,4,0,6
WDT,0,0,4,0,0,3,2,0,0,0,32,4,1,6,0,0,0,9,2,7,0,0,0,0,0,0,0,25,0,0,18,48,0,0,0,0
WP,0,0,5,0,0,0,0,0,0,0,7,2,1,3,0,0,0,12,0,1,0,0,0,0,0,0,0,21,0,1,5,5,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,3,16,0,0,0,6,0,1,0,1,5,3,8,0,0,0,21,0,3,0,0,0,0,4,0,0,1,0,4,1,0,0,0,0,0
